input_role,row_count,column_count,columns
n12_rank100_summary,5,24,"case_id, size_ratio, simulation_number, particle_count, small_particle_count, training_snapshot_count, validation_snapshot_count, continuum_spacetime_error_percent, particle_spacetime_error_percent, continuum_time_averaged_error_percent, particle_time_averaged_error_percent, continuum_mean_spatial_correlation, particle_mean_spatial_correlation, continuum_maximum_volume_fraction, particle_maximum_volume_fraction, continuum_minimum_volume_fraction, particle_minimum_volume_fraction, continuum_fraction_phi_gt_one_percent, particle_fraction_phi_gt_one_percent, continuum_fraction_phi_lt_tolerance_percent, particle_fraction_phi_lt_tolerance_percent, natural_cycle_error_percent, small_particle_fraction, particle_first_to_continuum_first_ratio"
n13_xz_rank100_summary,5,17,"case_id, size_ratio, continuum_first_error_percent, XYZ_particle_error_percent, XZ_particle_error_percent, XZ_time_averaged_error_percent, XZ_mean_correlation, XZ_maximum_phi, XZ_fraction_phi_gt_one_percent, XZ_error_reduction_vs_XYZ_percent, XZ_to_continuum_error_ratio, continuum_mean_correlation, XYZ_mean_correlation, continuum_maximum_phi, XYZ_maximum_phi, continuum_fraction_phi_gt_one_percent, XYZ_fraction_phi_gt_one_percent"
n14_tail_diagnostics,26,5,"formulation, rank, absolute_tail_norm, relative_tail_percent, captured_energy_percent"
n14_rank_criteria,8,3,"formulation, relative_tail_target_percent, smallest_rank"
n14_training_sweep,24,9,"training_count, rank, selected_seed, validation_mean_field_error_percent, mean_external_error_percent, median_external_error_percent, maximum_external_error_percent, mean_projection_error_percent, mean_excess_above_projection_percent"
n14_selected_models,24,8,"rank, training_count, random_seed, closure_calls, fitting_raw_coefficient_mse, validation_raw_coefficient_mse, validation_mean_field_error_percent, validation_maximum_field_error_percent"
n14_final_summary,4,12,"model, rank, mean_test_error_percent, median_test_error_percent, maximum_test_error_percent, mean_projection_error_percent, mean_spatial_correlation, mean_absolute_integral_error_percent, minimum_prediction, maximum_prediction, fraction_phi_lt_negative_tolerance_percent, fraction_phi_gt_one_percent"
n14_final_cases,40,3,"model, size_ratio, test_error_percent"
n15_modewise_comparison,840,21,"model, rank, case_set, case_identifier, evaluation_role, uncertainty_source, duration_scaling, size_ratio, source_simulation, mode, truth_field_norm, projected_coefficient, predicted_coefficient, coefficient_error_absolute, coefficient_error_percent, modal_uncertainty_absolute, modal_uncertainty_percent, coefficient_error_to_uncertainty_ratio, mode_ratio_stable, uncertainty_rule_frozen_before_evaluation, external_test_used_for_selection"
n15_rom_decomposition,80,29,"model, rank, case_set, case_identifier, evaluation_role, uncertainty_source, duration_scaling, size_ratio, source_simulation, truth_field_norm, projection_error_absolute, coefficient_error_absolute, coefficient_field_error_absolute, rom_error_absolute, projection_error_percent, coefficient_error_percent, rom_error_percent, pythagorean_residual, coefficient_field_equivalence_residual, field_uncertainty_absolute, field_uncertainty_percent, modal_uncertainty_norm_absolute, modal_uncertainty_norm_percent, rom_to_field_uncertainty_ratio, coefficient_to_modal_uncertainty_ratio, field_ratio_stable, modal_vector_ratio_stable, uncertainty_rule_frozen_before_evaluation, external_test_used_for_selection"
n15_duration_scaling,6,17,"duration_level, field_count, mean_duration, minimum_duration, maximum_duration, mean_window_deviation_percent, median_window_deviation_percent, maximum_window_deviation_percent, field_variability_percent, naive_level_mean_standard_error_percent, weighted_vs_unweighted_mean_percent, weighted_mean_vs_finest_level_percent, integral_coefficient_of_variation_percent, minimum_phi, maximum_phi, inverse_square_root_reference_percent, observed_to_inverse_square_root_ratio"
n15_validation_checks,24,5,"check, passed, value, requirement, notes"
n18_method_summary,18,16,"model, rank, method, evaluation_role, case_count, mean_projection_error_percent, mean_coefficient_error_percent, mean_rom_error_percent, median_rom_error_percent, maximum_rom_error_percent, mean_absolute_integral_error_percent, minimum_prediction, maximum_prediction, maximum_fraction_phi_lt_threshold_percent, maximum_fraction_phi_gt_one_percent, maximum_pythagorean_residual"
n18_paired_summary,12,10,"model, rank, evaluation_role, method, case_count, mean_rom_difference_percent, median_rom_difference_percent, maximum_absolute_rom_difference_percent, mean_coefficient_difference_percent, maximum_absolute_coefficient_difference_percent"
n18_loo_summary,4,11,"model, rank, method, evaluation_role, case_count, mean_projection_error_percent, mean_coefficient_error_percent, mean_rom_error_percent, median_rom_error_percent, maximum_rom_error_percent, maximum_pythagorean_residual"
n18_validation_audit,10,3,"check, passed, value"
n19_small_only_sweep,25,16,"rank, spacetime_relative_l2_error_percent, mean_snapshot_l2_error_percent, median_snapshot_l2_error_percent, p95_snapshot_l2_error_percent, maximum_snapshot_l2_error_percent, time_averaged_l2_error_percent, minimum_volume_fraction, maximum_volume_fraction, grid_fraction_phi_lt_zero_percent, training_energy_percent, case_id, size_ratio, pod_numerical_rank, training_snapshot_count, validation_snapshot_count"
n19_rank100_comparison,5,7,"case_id, size_ratio, small_only_spacetime_error_percent, small_only_time_averaged_error_percent, all_particle_xz_spacetime_error_percent, all_particle_xz_time_averaged_error_percent, small_only_minus_all_particle_xz_percentage_points"
n19_row_continuity,10,15,"case_id, size_ratio, species, particle_count, interval_count, median_row_displacement, p95_row_displacement, p99_row_displacement, maximum_row_displacement, median_nearest_distance, p95_nearest_distance, median_row_to_nearest_ratio, p95_row_to_nearest_ratio, mean_stored_partner_nearest_fraction, minimum_stored_partner_nearest_fraction"
